date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:25	552/552	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:f7742c533f2dc9d094c1a62ddc9013cd%22	https://oklumi.com/robots.txt		(from )
11:00:26	158330/158330	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:cebb643f9c8f84cc8a90a50fcfb9a7cc%22	https://oklumi.com/	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/index.html	(from )
11:00:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:00:27%20GMT	http://oklumi.com/cdn/shop/files/Oklumi_Favicon_Ok-402-02.png?crop=center&height=32&v=1708595627&width=32	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Oklumi_Favicon_Ok-402-02.0f004.delayed	(from https://oklumi.com/)
11:00:27	2272/2272	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202024%2020:44:59%20GMT	https://oklumi.com/cdn/shop/files/Oklumi_Favicon_Ok-402-02.png?crop=center&height=32&v=1708595627&width=32	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Oklumi_Favicon_Ok-402-02f004.png	(from https://oklumi.com/)
11:00:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:00:28%20GMT	http://oklumi.com/cdn/shop/files/Oklumi_Logo_Header.png?height=628&pad_color=ffffff&v=1690952776&width=1200	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Oklumi_Logo_Header367c.png	(from https://oklumi.com/)
11:00:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:00:29%20GMT	http://oklumi.com/cdn/shop/t/1/assets/constants.js?v=58251544750838685771690949771	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/constants3bed.js	(from https://oklumi.com/)
11:00:28	40674/40674	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Mar%202024%2008:00:29%20GMT	https://oklumi.com/cdn/shop/files/Oklumi_Logo_Header.png?height=628&pad_color=ffffff&v=1690952776&width=1200	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Oklumi_Logo_Header367c.png	(from https://oklumi.com/)
11:00:28	195/195	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Mar%202024%2019:51:55%20GMT	https://oklumi.com/cdn/shop/t/1/assets/constants.js?v=58251544750838685771690949771	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/constants3bed.js	(from https://oklumi.com/)
11:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:00:29%20GMT	http://oklumi.com/cdn/shop/t/1/assets/pubsub.js?v=158357773527763999511690949779	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/pubsub4d62.js	(from https://oklumi.com/)
11:00:29	758/758	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2006%20Mar%202024%2018:58:25%20GMT	https://oklumi.com/cdn/shop/t/1/assets/pubsub.js?v=158357773527763999511690949779	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/pubsub4d62.js	(from https://oklumi.com/)
11:00:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:00:30%20GMT	http://oklumi.com/cdn/shop/t/1/assets/global.js?v=54939145903281508041690949772	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/global7fc4.js	(from https://oklumi.com/)
11:00:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:00:31%20GMT	http://oklumi.com/cdn/shop/t/1/assets/animations.js?v=88693664871331136111690949755	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/animations802c.js	(from https://oklumi.com/)
